redirect_type,redirect_target,old_url
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-4-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-5-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-6-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-7-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-8-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-9-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v4-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v4-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v4-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v4-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-4-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-5-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-6-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-7-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-8-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v3-9-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v4-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v4-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v4-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker-compose/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker-compose/v4-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-4-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-5-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-6-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-7-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-8-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v3-9-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v4-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v4-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v4-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/docker/v4-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/old-upgrade-instructions/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-4-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-5-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-6-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-7-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-8-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v3-9-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v4-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v4-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v4-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/ubuntu/v4-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-2-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-4-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-5-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-6-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/windows/v3-7-x/
